match_id,is_home,opponent,our_score,opponent_score,motm_first_name,motm_last_name,manager,event_id,match_time,minutes_played,result
0xa086f88ba09acd73,False,GALATASARAY,4,3,Erling,Haaland,OKAN BURUK,0,1729618571,120,Galibiyet
0xa086f88ba099f110,False,FC SARAJEVO,3,3,Marcus,Thuram,RUSTEM,0,1729617929,120,Beraberlik
0xa086f88ba03c86ac,False,FENERBAHCE,3,4,Robert,Lewandowski,REFIK,0,1729529287,100,Mağlubiyet
0xa086f88ba0306b09,False,GUERREROS FC,2,2,,Ederson,GUERRERO,0,1729520961,124,Beraberlik
0xa086f88ba02f4b42,True,REAL MADRID,2,1,Luka,Modrić,JASUR,1345,1729520169,120,Galibiyet
0xa086f88ba02eba2f,True,AS COMCOM,3,2,Vinícius,Júnior,FUZZ,1345,1729519763,93,Galibiyet
0xa086f88ba02e20d2,False,ZMELK,2,3,Kylian,Mbappé,MHEMP,1345,1729519335,92,Mağlubiyet
0xa086f88ba02e0c11,True,MAN CITY,0,0,Mohamed,Salah,GARDIOLA,1345,1729519276,3,Beraberlik
0xa086f88ba01fd692,True,ULTIMATE FC,3,4,Erling,Haaland,CHIBUZOR OKORO,0,1729507383,94,Mağlubiyet
0xa086f88ba01f3727,True,Dream FC,2,1,Mohamed,Salah,MANAGER,0,1729506784,121,Galibiyet
0xa086f88ba01edb7f,True,KOSTOV,0,2,Vinícius,Júnior,KIKO,0,1729506432,76,Mağlubiyet
0xa086f88ba01e4558,True,JUVENTUS,3,6,Erling,Haaland,ERFLOWA,0,1729505855,110,Mağlubiyet
0xa086f88ba01dd893,True,GALATASARAY SK,1,2,Rúben,Dias,JOSEF,0,1729505433,91,Mağlubiyet
0xa086f88ba01d745e,True,IMAN,3,2,Victor,Osimhen,IMAN,0,1729505040,93,Galibiyet
0xa086f88b9fffe5e1,True,ESPRONS SPORTIVE DES TUNIS,2,2,Victor,Osimhen,LOUHICHI AMINE,0,1729465773,114,Beraberlik
0xa086f88b9fff997d,True,ALBANIA,0,1,Jude,Bellingham,ALBANIA,0,1729465427,92,Mağlubiyet
0xa086f88b9ffef415,True,ASC DEUKEUNDO,2,2,Andrew,Robertson,ABLAYE  BOYE,0,1729464709,120,Beraberlik
0xa086f88b9fe61d63,True,UTOPIA,3,1,Jonathan,David,UNKNOWN,0,1729445131,76,Galibiyet
0xa086f88b9fe5558b,False,MOROCCO,3,2,Andrew,Robertson,LYAMANI,0,1729444589,117,Galibiyet
0xa086f88b9fc81c2b,False,Dream FC,1,0,Antonio,Rüdiger,PEP GUARDIOLA,0,1729425916,94,Galibiyet
0xa086f88b9fc794da,True,O O O,2,4,Kylian,Mbappé,A A A,0,1729425491,93,Mağlubiyet
0xa086f88b9f77f4c5,True,ABNALDER,2,1,Rúben,Dias,ABU NAJIM,0,1729347742,91,Galibiyet
0xa086f88b9f773a45,True,NEJMEH CLUB,3,2,Vinícius,Júnior,MOHAMAD ALI,0,1729347158,120,Galibiyet
0xa086f88b9f768672,True,AGGFK,1,1,Lionel,Messi,ASD,0,1729346595,120,Beraberlik
0xa086f88b9f5c2409,True,GALATASARAY,2,1,Vinícius,Júnior,RAKIP,0,1729322701,92,Galibiyet
0xa086f88b9ea53906,True,Dream FC,3,4,Erling,Haaland,UMUT KALELI,0,1729167278,94,Mağlubiyet
0xa086f88b9ea496d9,True,GD BELLANOCHE,6,4,Cristiano,Ronaldo,LIMA,0,1729166832,92,Galibiyet
